Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
33                            0.5                           187                           244                           1                             0.0008697509765625
33                            0.75                          333                           642                           1                             0.0030236244201660156
34                            0.125                         94                            57                            1                             0.0002655982971191406
34                            0.25                          122                           122                           1                             0.00043773651123046875
34                            0.5                           192                           329                           1                             0.0011816024780273438
34                            0.75                          350                           1096                          1                             0.0050427913665771484
35                            0.125                         99                            68                            1                             0.0003292560577392578
35                            0.25                          122                           145                           1                             0.0005109310150146484
35                            0.5                           251                           282                           1                             0.001051187515258789
35                            0.75                          322                           2282                          1                             0.009694099426269531
36                            0.125                         94                            74                            1                             0.00030040740966796875
36                            0.25                          136                           118                           1                             0.0004425048828125
36                            0.5                           189                           415                           1                             0.0012936592102050781
36                            0.75                          321                           1949                          1                             0.007666349411010742
37                            0.125                         99                            77                            1                             0.00034356117248535156
37                            0.25                          166                           115                           1                             0.00048828125
37                            0.5                           228                           448                           1                             0.0014560222625732422
37                            0.75                          323                           2281                          1                             0.009294509887695312
38                            0.125                         106                           74                            1                             0.00034308433532714844
38                            0.25                          166                           130                           1                             0.0005342960357666016
38                            0.5                           204                           548                           1                             0.0019176006317138672
38                            0.75                          348                           2839                          1                             0.011623144149780273
39                            0.125                         99                            78                            1                             0.00035262107849121094
39                            0.25                          154                           162                           1                             0.0005843639373779297
39                            0.5                           208                           642                           1                             0.0021135807037353516
39                            0.75                          371                           2722                          1                             0.012177467346191406
40                            0.125                         125                           65                            1                             0.0003693103790283203
40                            0.25                          147                           176                           1                             0.0006682872772216797
40                            0.5                           222                           557                           1                             0.002122640609741211
40                            0.75                          404                           2578                          1                             0.011688709259033203
41                            0.125                         125                           79                            1                             0.0003962516784667969
41                            0.25                          173                           181                           1                             0.0006365776062011719
41                            0.5                           220                           804                           1                             0.0026433467864990234
41                            0.75                          362                           4123                          1                             0.017077922821044922
42                            0.125                         111                           93                            1                             0.0004100799560546875
42                            0.25                          156                           176                           1                             0.0006511211395263672
42                            0.5                           248                           732                           1                             0.0025916099548339844
42                            0.75                          377                           3306                          1                             0.014603853225708008
43                            0.125                         111                           103                           1                             0.00044035911560058594
43                            0.25                          154                           203                           1                             0.0007371902465820312
43                            0.5                           214                           808                           1                             0.0027916431427001953
43                            0.75                          403                           2584                          1                             0.012014627456665039
44                            0.125                         130                           91                            1                             0.00043892860412597656
44                            0.25                          168                           212                           1                             0.0007882118225097656
44                            0.5                           219                           756                           1                             0.002756834030151367
44                            0.75                          369                           5441                          1                             0.023654460906982422
45                            0.125                         125                           90                            1                             0.0005042552947998047
45                            0.25                          162                           215                           1                             0.0008604526519775391
45                            0.5                           248                           714                           1                             0.002904176712036133
45                            0.75                          364                           5035                          1                             0.023327350616455078
46                            0.125                         123                           91                            1                             0.00047850608825683594
46                            0.25                          201                           169                           1                             0.0007271766662597656
46                            0.5                           272                           716                           1                             0.0028548240661621094
46                            0.75                          396                           5084                          1                             0.024101972579956055
47                            0.125                         107                           123                           1                             0.0005462169647216797
47                            0.25                          168                           244                           1                             0.0009741783142089844
47                            0.5                           288                           925                           1                             0.003780841827392578
47                            0.75                          433                           6007                          1                             0.03177762031555176
48                            0.125                         113                           124                           1                             0.0005707740783691406
48                            0.25                          144                           287                           1                             0.0010700225830078125
48                            0.5                           240                           963                           1                             0.003885030746459961
48                            0.75                          366                           10113                         1                             0.0470271110534668
49                            0.125                         126                           119                           1                             0.0006198883056640625
49                            0.25                          164                           271                           1                             0.0011019706726074219
49                            0.5                           257                           1083                          1                             0.004280805587768555
49                            0.75                          371                           10066                         1                             0.04945182800292969
50                            0.125                         152                           112                           1                             0.0006577968597412109
50                            0.25                          152                           289                           1                             0.001148223876953125
50                            0.5                           224                           1285                          1                             0.004867076873779297
50                            0.75                          395                           9241                          1                             0.04481863975524902
51                            0.125                         135                           127                           1                             0.0006489753723144531
51                            0.25                          173                           259                           1                             0.0010771751403808594
51                            0.5                           261                           1134                          1                             0.004632234573364258
51                            0.75                          416                           11971                         1                             0.05958151817321777
52                            0.125                         133                           138                           1                             0.0006937980651855469
52                            0.25                          173                           316                           1                             0.0012388229370117188
52                            0.5                           244                           1829                          1                             0.006592750549316406
52                            0.75                          423                           8422                          1                             0.04453468322753906
53                            0.125                         130                           151                           1                             0.0007314682006835938
53                            0.25                          170                           318                           1                             0.0012879371643066406
53                            0.5                           247                           1454                          1                             0.005760908126831055
53                            0.75                          422                           11712                         1                             0.06334829330444336
54                            0.125                         122                           129                           1                             0.0007297992706298828
54                            0.25                          162                           356                           1                             0.0014994144439697266
54                            0.5                           250                           1525                          1                             0.008475542068481445
54                            0.75                          390                           12760                         1                             0.07237124443054199
55                            0.125                         130                           158                           1                             0.0008537769317626953
55                            0.25                          157                           367                           1                             0.001531362533569336
55                            0.5                           244                           1829                          1                             0.007901430130004883
55                            0.75                          413                           18849                         1                             0.20714616775512695
56                            0.125                         125                           148                           1                             0.0014491081237792969
56                            0.25                          175                           350                           1                             0.0028121471405029297
56                            0.5                           248                           1939                          1                             0.01910853385925293
56                            0.75                          420                           24153                         1                             0.19389867782592773
57                            0.125                         130                           167                           1                             0.0008771419525146484
57                            0.25                          175                           402                           1                             0.0015833377838134766
57                            0.5                           296                           1592                          1                             0.006926298141479492
57                            0.75                          439                           16084                         1                             0.08625316619873047
58                            0.125                         142                           171                           1                             0.0008997917175292969
