Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
33                            0.25                          145                           81                            1                             0.00012445449829101562
33                            0.5                           185                           257                           1                             0.0002803802490234375
33                            0.75                          330                           1176                          1                             0.0007989406585693359
34                            0.125                         111                           60                            1                             8.893013000488281e-05
34                            0.25                          128                           97                            1                             0.0001361370086669922
34                            0.5                           197                           244                           1                             0.0002980232238769531
34                            0.75                          294                           1084                          1                             0.0007750988006591797
35                            0.125                         93                            69                            1                             0.00012683868408203125
35                            0.25                          132                           106                           1                             0.00019288063049316406
35                            0.5                           201                           333                           1                             0.0003998279571533203
35                            0.75                          328                           1025                          1                             0.0009591579437255859
36                            0.125                         104                           56                            1                             0.00012421607971191406
36                            0.25                          130                           117                           1                             0.0002110004425048828
36                            0.5                           218                           377                           1                             0.00046324729919433594
36                            0.75                          304                           1099                          1                             0.0009815692901611328
37                            0.125                         109                           57                            1                             0.0001385211944580078
37                            0.25                          134                           105                           1                             0.00018668174743652344
37                            0.5                           222                           360                           1                             0.00042748451232910156
37                            0.75                          303                           1113                          1                             0.0008594989776611328
38                            0.125                         104                           74                            1                             0.00011682510375976562
38                            0.25                          149                           132                           1                             0.00017142295837402344
38                            0.5                           203                           362                           1                             0.0003864765167236328
38                            0.75                          330                           1379                          1                             0.0009975433349609375
39                            0.125                         104                           61                            1                             0.00013518333435058594
39                            0.25                          136                           133                           1                             0.00019812583923339844
39                            0.5                           218                           325                           1                             0.00042510032653808594
39                            0.75                          314                           1234                          1                             0.0010335445404052734
40                            0.125                         106                           70                            1                             0.00012993812561035156
40                            0.25                          128                           161                           1                             0.00023365020751953125
40                            0.5                           234                           471                           1                             0.000537872314453125
40                            0.75                          330                           1467                          1                             0.001142740249633789
41                            0.125                         104                           79                            1                             0.00012111663818359375
41                            0.25                          172                           174                           1                             0.00023746490478515625
41                            0.5                           234                           435                           1                             0.0005114078521728516
41                            0.75                          353                           1668                          1                             0.0014171600341796875
42                            0.125                         111                           72                            1                             0.00014710426330566406
42                            0.25                          136                           162                           1                             0.00026607513427734375
42                            0.5                           217                           545                           1                             0.0006277561187744141
42                            0.75                          364                           1238                          1                             0.0010595321655273438
43                            0.125                         115                           85                            1                             0.00012826919555664062
43                            0.25                          128                           174                           1                             0.0002391338348388672
43                            0.5                           186                           398                           1                             0.0004749298095703125
43                            0.75                          342                           1471                          1                             0.0010988712310791016
44                            0.125                         104                           76                            1                             0.00013208389282226562
44                            0.25                          132                           141                           1                             0.0002231597900390625
44                            0.5                           223                           466                           1                             0.0005750656127929688
44                            0.75                          355                           1899                          1                             0.0015647411346435547
45                            0.125                         106                           77                            1                             0.00018358230590820312
45                            0.25                          139                           143                           1                             0.00030112266540527344
45                            0.5                           217                           468                           1                             0.0006501674652099609
45                            0.75                          338                           1735                          1                             0.001588582992553711
46                            0.125                         110                           82                            1                             0.00015211105346679688
46                            0.25                          165                           164                           1                             0.00029850006103515625
46                            0.5                           216                           541                           1                             0.00074005126953125
46                            0.75                          382                           2016                          1                             0.001678466796875
47                            0.125                         122                           83                            1                             0.00020623207092285156
47                            0.25                          135                           170                           1                             0.0003294944763183594
47                            0.5                           230                           559                           1                             0.0007228851318359375
47                            0.75                          354                           1680                          1                             0.0013227462768554688
48                            0.125                         133                           82                            1                             0.00013494491577148438
48                            0.25                          155                           179                           1                             0.00028324127197265625
48                            0.5                           194                           575                           1                             0.0006735324859619141
48                            0.75                          403                           1948                          1                             0.0014467239379882812
49                            0.125                         133                           87                            1                             0.00017070770263671875
49                            0.25                          173                           180                           1                             0.0003094673156738281
49                            0.5                           216                           577                           1                             0.0007207393646240234
49                            0.75                          393                           2435                          1                             0.0018699169158935547
50                            0.125                         133                           100                           1                             0.0001666545867919922
50                            0.25                          147                           171                           1                             0.0002560615539550781
50                            0.5                           240                           611                           1                             0.0006327629089355469
50                            0.75                          389                           2442                          1                             0.0015289783477783203
51                            0.125                         125                           89                            1                             0.00021529197692871094
51                            0.25                          165                           212                           1                             0.00037217140197753906
51                            0.5                           244                           640                           1                             0.0007131099700927734
51                            0.75                          402                           2091                          1                             0.0018620491027832031
52                            0.125                         102                           86                            1                             0.00016379356384277344
52                            0.25                          169                           186                           1                             0.0003027915954589844
52                            0.5                           213                           600                           1                             0.0006744861602783203
52                            0.75                          371                           2451                          1                             0.0017180442810058594
53                            0.125                         132                           126                           1                             0.00024390220642089844
53                            0.25                          141                           241                           1                             0.00039958953857421875
53                            0.5                           231                           557                           1                             0.0007598400115966797
53                            0.75                          368                           1800                          1                             0.0015854835510253906
54                            0.125                         124                           102                           1                             0.0002143383026123047
54                            0.25                          154                           254                           1                             0.0003330707550048828
54                            0.5                           248                           606                           1                             0.0007829666137695312
54                            0.75                          394                           2424                          1                             0.002046346664428711
55                            0.125                         124                           101                           1                             0.00019621849060058594
55                            0.25                          150                           200                           1                             0.0003879070281982422
55                            0.5                           281                           676                           1                             0.0009953975677490234
55                            0.75                          423                           3043                          1                             0.002066373825073242
56                            0.125                         127                           116                           1                             0.00018715858459472656
56                            0.25                          140                           239                           1                             0.0003368854522705078
56                            0.5                           234                           675                           1                             0.0007755756378173828
56                            0.75                          387                           2632                          1                             0.0020341873168945312
57                            0.125                         110                           111                           1                             0.00021600723266601562
57                            0.25                          150                           225                           1                             0.0004153251647949219
57                            0.5                           263                           752                           1                             0.0008463859558105469
57                            0.75                          405                           2850                          1                             0.0019447803497314453
58                            0.125                         127                           124                           1                             0.00019788742065429688
58                            0.25                          151                           240                           1                             0.00039196014404296875
58                            0.5                           241                           709                           1                             0.0008265972137451172
58                            0.75                          393                           2777                          1                             0.0023703575134277344
59                            0.125                         122                           140                           1                             0.0002682209014892578
59                            0.25                          169                           279                           1                             0.00038433074951171875
59                            0.5                           256                           808                           1                             0.0008711814880371094
59                            0.75                          372                           2569                          1                             0.002143383026123047
60                            0.125                         107                           116                           1                             0.00025200843811035156
60                            0.25                          140                           241                           1                             0.00043463706970214844
60                            0.5                           224                           734                           1                             0.0009453296661376953
60                            0.75                          366                           2461                          1                             0.002002716064453125
61                            0.125                         116                           123                           1                             0.0002243518829345703
61                            0.25                          156                           276                           1                             0.00043320655822753906
61                            0.5                           273                           890                           1                             0.0009455680847167969
61                            0.75                          437                           3406                          1                             0.0025568008422851562
62                            0.125                         120                           142                           1                             0.00026297569274902344
62                            0.25                          137                           248                           1                             0.00045752525329589844
62                            0.5                           244                           860                           1                             0.001074075698852539
62                            0.75                          397                           2522                          1                             0.002092123031616211
63                            0.125                         115                           148                           1                             0.00024271011352539062
63                            0.25                          160                           282                           1                             0.0004265308380126953
63                            0.5                           272                           957                           1                             0.0011162757873535156
63                            0.75                          404                           3796                          1                             0.0030660629272460938
64                            0.125                         117                           138                           1                             0.00025391578674316406
64                            0.25                          148                           260                           1                             0.0004115104675292969
64                            0.5                           229                           720                           1                             0.0009362697601318359
64                            0.75                          391                           2645                          1                             0.0025415420532226562
65                            0.125                         127                           145                           1                             0.00030493736267089844
65                            0.25                          140                           281                           1                             0.0005209445953369141
65                            0.5                           232                           832                           1                             0.001257181167602539
65                            0.75                          385                           3126                          1                             0.0028886795043945312
66                            0.125                         123                           168                           1                             0.00032258033752441406
66                            0.25                          164                           320                           1                             0.0005619525909423828
66                            0.5                           256                           867                           1                             0.001230001449584961
66                            0.75                          467                           3695                          1                             0.0032782554626464844
67                            0.125                         127                           167                           1                             0.0003190040588378906
67                            0.25                          150                           290                           1                             0.0005602836608886719
67                            0.5                           244                           828                           1                             0.0013141632080078125
67                            0.75                          398                           2966                          1                             0.0028967857360839844
68                            0.125                         124                           181                           1                             0.0003840923309326172
68                            0.25                          155                           308                           1                             0.0005958080291748047
68                            0.5                           281                           973                           1                             0.0014340877532958984
68                            0.75                          436                           4077                          1                             0.003228902816772461
69                            0.125                         128                           171                           1                             0.0002923011779785156
69                            0.25                          163                           316                           1                             0.0005414485931396484
69                            0.5                           241                           947                           1                             0.0013022422790527344
69                            0.75                          399                           3373                          1                             0.003023386001586914
70                            0.125                         120                           157                           1                             0.0002810955047607422
